ghash,lat,lon,gtype,poi,pname_th,pname_en,city_code
13.302-100.901,13.302,100.901,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.301-100.901,13.301,100.901,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.301-100.900,13.301,100.9,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.302-100.900,13.302,100.9,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.301-100.902,13.301,100.902,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.310-100.900,13.31,100.9,1000,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.903,13.309,100.903,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.904,13.309,100.904,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.905,13.309,100.905,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.906,13.309,100.906,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.907,13.309,100.907,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.908,13.309,100.908,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.909,13.309,100.909,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.910,13.308,100.91,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.909,13.308,100.909,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.907,13.308,100.907,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.908,13.308,100.908,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.906,13.308,100.906,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.905,13.308,100.905,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.904,13.308,100.904,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.906,13.307,100.906,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.907,13.307,100.907,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.908,13.307,100.908,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.909,13.307,100.909,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.910,13.309,100.91,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.252-101.376,13.252,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.252-101.375,13.252,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.251-101.375,13.251,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.250-101.375,13.25,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.249-101.375,13.249,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.249-101.376,13.249,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.249-101.377,13.249,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.250-101.377,13.25,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.251-101.377,13.251,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.252-101.377,13.252,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.251-101.376,13.251,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.250-101.376,13.25,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.342-100.942,13.342,100.942,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
13.342-100.943,13.342,100.943,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
13.341-100.943,13.341,100.943,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
13.341-100.942,13.341,100.942,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
12.694-100.855,12.694,100.855,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.694-100.856,12.694,100.856,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.693-100.856,12.693,100.856,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.693-100.855,12.693,100.855,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.692-100.855,12.692,100.855,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.692-100.856,12.692,100.856,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.900-100.670,12.9,100.67,1000,cbi-006,เกาะกลึงบาดาล,Koh Klung Badan,CBI
12.900-100.680,12.9,100.68,1000,cbi-006,เกาะกลึงบาดาล,Koh Klung Badan,CBI
12.890-100.680,12.89,100.68,1000,cbi-006,เกาะกลึงบาดาล,Koh Klung Badan,CBI
12.890-100.670,12.89,100.67,1000,cbi-006,เกาะกลึงบาดาล,Koh Klung Badan,CBI
12.930-100.770,12.93,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.930-100.780,12.93,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.930-100.790,12.93,100.79,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.790,12.92,100.79,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.780,12.92,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.770,12.92,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.920-100.760,12.92,100.76,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.910-100.760,12.91,100.76,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.910-100.770,12.91,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.910-100.780,12.91,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.900-100.780,12.9,100.78,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.900-100.770,12.9,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
12.890-100.770,12.89,100.77,1000,cbi-007,เกาะล้าน,Koh Larn,CBI
13.170-100.790,13.17,100.79,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.800,13.17,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.810,13.17,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.820,13.17,100.82,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.170-100.830,13.17,100.83,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.830,13.16,100.83,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.820,13.16,100.82,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.810,13.16,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.800,13.16,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.160-100.790,13.16,100.79,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.790,13.15,100.79,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.800,13.15,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.810,13.15,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.140-100.800,13.14,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.140-100.810,13.14,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.130-100.800,13.13,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.130-100.810,13.13,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.120-100.800,13.12,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.120-100.810,13.12,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.110-100.800,13.11,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.100-100.800,13.1,100.8,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.110-100.810,13.11,100.81,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.140-100.820,13.14,100.82,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
13.150-100.830,13.15,100.83,1000,cbi-008,เกาะสีชัง,Koh Sichang,CBI
12.805-100.912,12.805,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.805-100.913,12.805,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.806-100.913,12.806,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.807-100.913,12.807,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.808-100.913,12.808,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.809-100.913,12.809,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.809-100.912,12.809,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.810-100.913,12.81,100.913,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.810-100.912,12.81,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.811-100.912,12.811,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.812-100.912,12.812,100.912,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.813-100.911,12.813,100.911,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.812-100.911,12.812,100.911,100,cbi-009,ชายหาดบ้านอำเภอ,Baan Amphur Beach,CBI
12.900-100.850,12.9,100.85,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.890-100.860,12.89,100.86,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.880-100.870,12.88,100.87,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.870-100.880,12.87,100.88,1000,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.869-100.890,12.869,100.89,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.868-100.890,12.868,100.89,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.868-100.891,12.868,100.891,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.867-100.891,12.867,100.891,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.883-100.880,12.883,100.88,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.882-100.880,12.882,100.88,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.882-100.881,12.882,100.881,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.881-100.881,12.881,100.881,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.880-100.882,12.88,100.882,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.890-100.874,12.89,100.874,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.891-100.873,12.891,100.873,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.890-100.873,12.89,100.873,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.892-100.872,12.892,100.872,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.891-100.872,12.891,100.872,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.893-100.871,12.893,100.871,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.892-100.871,12.892,100.871,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.893-100.872,12.893,100.872,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.894-100.870,12.894,100.87,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.894-100.871,12.894,100.871,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.895-100.870,12.895,100.87,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.893-100.870,12.893,100.87,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.900-100.864,12.9,100.864,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.900-100.865,12.9,100.865,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.901-100.863,12.901,100.863,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.901-100.864,12.901,100.864,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.902-100.862,12.902,100.862,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.902-100.863,12.902,100.863,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.903-100.862,12.903,100.862,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.903-100.861,12.903,100.861,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.904-100.861,12.904,100.861,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.904-100.860,12.904,100.86,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.905-100.860,12.905,100.86,100,cbi-010,หาดจอมเทียน,Jomtien Beach,CBI
12.659-100.914,12.659,100.914,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.660-100.914,12.66,100.914,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.660-100.915,12.66,100.915,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.659-100.915,12.659,100.915,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.659-100.916,12.659,100.916,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.658-100.916,12.658,100.916,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.658-100.917,12.658,100.917,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.659-100.917,12.659,100.917,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.658-100.918,12.658,100.918,100,cbi-011,หาดดงตาล,Dongtan Beach,CBI
12.924-100.775,12.924,100.775,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.924-100.776,12.924,100.776,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.924-100.777,12.924,100.777,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.924-100.778,12.924,100.778,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.925-100.778,12.925,100.778,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.925-100.779,12.925,100.779,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.925-100.780,12.925,100.78,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.926-100.780,12.926,100.78,100,cbi-012,หาดตาแหวน (เกาะล้าน),Tawaen Beach (Koh Larn),CBI
12.668-100.861,12.668,100.861,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.667-100.861,12.667,100.861,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.667-100.862,12.667,100.862,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.668-100.862,12.668,100.862,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.669-100.861,12.669,100.861,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.670-100.861,12.67,100.861,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.670-100.860,12.67,100.86,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.671-100.860,12.671,100.86,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.671-100.861,12.671,100.861,100,cbi-013,หาดเตยงาม,Toei Ngam Beach,CBI
12.744-100.841,12.744,100.841,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.744-100.842,12.744,100.842,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.743-100.841,12.743,100.841,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.742-100.841,12.742,100.841,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.742-100.840,12.742,100.84,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.741-100.840,12.741,100.84,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.740-100.839,12.74,100.839,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.740-100.840,12.74,100.84,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.741-100.841,12.741,100.841,100,cbi-014,หาดทรายแก้ว,Sai Kaew Beach,CBI
12.642-100.928,12.642,100.928,100,cbi-015,หาดเทียนทะเล,Thian Thale Beach,CBI
12.641-100.928,12.641,100.928,100,cbi-015,หาดเทียนทะเล,Thian Thale Beach,CBI
12.640-100.928,12.64,100.928,100,cbi-015,หาดเทียนทะเล,Thian Thale Beach,CBI
12.641-100.929,12.641,100.929,100,cbi-015,หาดเทียนทะเล,Thian Thale Beach,CBI
12.642-100.929,12.642,100.929,100,cbi-015,หาดเทียนทะเล,Thian Thale Beach,CBI
12.643-100.928,12.643,100.928,100,cbi-015,หาดเทียนทะเล,Thian Thale Beach,CBI
12.900-100.777,12.9,100.777,100,cbi-016,หาดนวล (เกาะล้าน),Nual Beach (Koh Larn),CBI
12.900-100.778,12.9,100.778,100,cbi-016,หาดนวล (เกาะล้าน),Nual Beach (Koh Larn),CBI
12.900-100.776,12.9,100.776,100,cbi-016,หาดนวล (เกาะล้าน),Nual Beach (Koh Larn),CBI
12.900-100.775,12.9,100.775,100,cbi-016,หาดนวล (เกาะล้าน),Nual Beach (Koh Larn),CBI
12.901-100.777,12.901,100.777,100,cbi-016,หาดนวล (เกาะล้าน),Nual Beach (Koh Larn),CBI
12.615-100.921,12.615,100.921,100,cbi-017,หาดนางรำ,Nang Ram Beach,CBI
12.615-100.922,12.615,100.922,100,cbi-017,หาดนางรำ,Nang Ram Beach,CBI
12.614-100.922,12.614,100.922,100,cbi-017,หาดนางรำ,Nang Ram Beach,CBI
12.928-100.875,12.928,100.875,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.929-100.876,12.929,100.876,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.928-100.876,12.928,100.876,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.929-100.877,12.929,100.877,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.930-100.877,12.93,100.877,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.930-100.878,12.93,100.878,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.931-100.878,12.931,100.878,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.931-100.879,12.931,100.879,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.932-100.879,12.932,100.879,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.932-100.880,12.932,100.88,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.933-100.880,12.933,100.88,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.933-100.881,12.933,100.881,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.934-100.881,12.934,100.881,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.934-100.882,12.934,100.882,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.935-100.882,12.935,100.882,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.935-100.881,12.935,100.881,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.936-100.882,12.936,100.882,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.937-100.882,12.937,100.882,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.937-100.883,12.937,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.936-100.883,12.936,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.938-100.883,12.938,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.939-100.883,12.939,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.939-100.884,12.939,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.941-100.884,12.941,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.940-100.884,12.94,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.940-100.883,12.94,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.942-100.884,12.942,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.943-100.884,12.943,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.944-100.884,12.944,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.945-100.884,12.945,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.946-100.884,12.946,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.947-100.884,12.947,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.948-100.884,12.948,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.949-100.884,12.949,100.884,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.950-100.883,12.95,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.949-100.883,12.949,100.883,100,cbi-018,หาดพัทยา,Pattaya Beach,CBI
12.910-100.855,12.91,100.855,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.909-100.856,12.909,100.856,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.909-100.855,12.909,100.855,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.910-100.856,12.91,100.856,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.908-100.857,12.908,100.857,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.909-100.857,12.909,100.857,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.907-100.858,12.907,100.858,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.908-100.858,12.908,100.858,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.906-100.859,12.906,100.859,100,cbi-019,หาดยินยอม,Yin Yom Beach,CBI
12.973-100.892,12.973,100.892,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.972-100.893,12.972,100.893,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.972-100.892,12.972,100.892,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.973-100.893,12.973,100.893,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.973-100.891,12.973,100.891,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.972-100.891,12.972,100.891,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.973-100.894,12.973,100.894,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.972-100.894,12.972,100.894,100,cbi-020,หาดวงพระจันทร์,Wong Phra Chan Beach,CBI
12.957-100.882,12.957,100.882,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.957-100.883,12.957,100.883,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.957-100.884,12.957,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.958-100.884,12.958,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
