ghash,lat,lon,gtype,poi,pname_th,pname_en,city_code
12.959-100.884,12.959,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.960-100.884,12.96,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.961-100.884,12.961,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.962-100.884,12.962,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.963-100.884,12.963,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.964-100.883,12.964,100.883,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.964-100.884,12.964,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.965-100.883,12.965,100.883,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.965-100.884,12.965,100.884,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.966-100.883,12.966,100.883,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.967-100.883,12.967,100.883,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.967-100.882,12.967,100.882,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
12.968-100.882,12.968,100.882,100,cbi-021,หาดวงศ์อำมาตย์,Wong Amat Beach,CBI
13.269-100.923,13.269,100.923,100,cbi-022,หาดวอนนภา,Wonnapa Beach,CBI
13.268-100.923,13.268,100.923,100,cbi-022,หาดวอนนภา,Wonnapa Beach,CBI
13.268-100.924,13.268,100.924,100,cbi-022,หาดวอนนภา,Wonnapa Beach,CBI
12.913-100.767,12.913,100.767,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.913-100.768,12.913,100.768,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.912-100.768,12.912,100.768,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.912-100.769,12.912,100.769,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.913-100.769,12.913,100.769,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.911-100.770,12.911,100.77,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.910-100.771,12.91,100.771,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.911-100.769,12.911,100.769,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.910-100.770,12.91,100.77,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.909-100.771,12.909,100.771,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.908-100.771,12.908,100.771,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
12.911-100.771,12.911,100.771,100,cbi-023,หาดแสม (เกาะล้าน),Samae Beach (Koh Larn),CBI
13.199-101.580,13.199,101.58,100,cbi-024,ถ้ำเขาชะอางค์ทรงเครื่อง,Khao Cha-ang Song Krueng Cave,CBI
13.200-101.580,13.2,101.58,100,cbi-024,ถ้ำเขาชะอางค์ทรงเครื่อง,Khao Cha-ang Song Krueng Cave,CBI
13.161-101.597,13.161,101.597,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.163-101.596,13.163,101.596,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.162-101.597,13.162,101.597,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.162-101.596,13.162,101.596,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.161-101.596,13.161,101.596,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.160-101.596,13.16,101.596,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.160-101.597,13.16,101.597,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.160-101.598,13.16,101.598,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.161-101.598,13.161,101.598,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.160-101.599,13.16,101.599,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.163-101.597,13.163,101.597,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.162-101.598,13.162,101.598,100,cbi-025,ถ้ำเขาชะอางค์ห้ายอด,Khao Cha-ang Ha Yod Cave,CBI
13.145-100.806,13.145,100.806,100,cbi-026,หาดถ้ำพัง อ่าวอัษฎางค์,Tham Phang Beach,CBI
13.145-100.807,13.145,100.807,100,cbi-026,หาดถ้ำพัง อ่าวอัษฎางค์,Tham Phang Beach,CBI
13.144-100.807,13.144,100.807,100,cbi-026,หาดถ้ำพัง อ่าวอัษฎางค์,Tham Phang Beach,CBI
13.146-100.806,13.146,100.806,100,cbi-026,หาดถ้ำพัง อ่าวอัษฎางค์,Tham Phang Beach,CBI
13.266-101.643,13.266,101.643,100,cbi-027,น้ำตกเขาใหญ่,Khao Yai Waterfall,CBI
13.266-101.644,13.266,101.644,100,cbi-027,น้ำตกเขาใหญ่,Khao Yai Waterfall,CBI
13.265-101.644,13.265,101.644,100,cbi-027,น้ำตกเขาใหญ่,Khao Yai Waterfall,CBI
13.265-101.643,13.265,101.643,100,cbi-027,น้ำตกเขาใหญ่,Khao Yai Waterfall,CBI
13.265-101.645,13.265,101.645,100,cbi-027,น้ำตกเขาใหญ่,Khao Yai Waterfall,CBI
13.266-101.645,13.266,101.645,100,cbi-027,น้ำตกเขาใหญ่,Khao Yai Waterfall,CBI
13.240-101.040,13.24,101.04,1000,cbi-028,น้ำตกชันตาเถร,Chan Ta Thera Waterfall,CBI
13.174-100.921,13.174,100.921,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.173-100.921,13.173,100.921,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.173-100.920,13.173,100.92,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.173-100.919,13.173,100.919,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.174-100.919,13.174,100.919,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.173-100.918,13.173,100.918,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.174-100.920,13.174,100.92,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.174-100.918,13.174,100.918,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.175-100.920,13.175,100.92,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
13.175-100.919,13.175,100.919,100,cbi-029,เกาะลอยศรีราชา,Koh Loi Sriracha,CBI
12.766-100.956,12.766,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.766-100.957,12.766,100.957,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.765-100.957,12.765,100.957,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.765-100.956,12.765,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.764-100.956,12.764,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.764-100.957,12.764,100.957,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.766-100.955,12.766,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.765-100.955,12.765,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.764-100.955,12.764,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.764-100.954,12.764,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.765-100.954,12.765,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.766-100.954,12.766,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.768-100.954,12.768,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.767-100.954,12.767,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.767-100.955,12.767,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.767-100.956,12.767,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.763-100.954,12.763,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.763-100.955,12.763,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.763-100.956,12.763,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.763-100.957,12.763,100.957,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.762-100.957,12.762,100.957,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.761-100.956,12.761,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.761-100.957,12.761,100.957,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.762-100.955,12.762,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.762-100.956,12.762,100.956,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.761-100.955,12.761,100.955,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.761-100.954,12.761,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.762-100.954,12.762,100.954,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.762-100.953,12.762,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.763-100.953,12.763,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.764-100.953,12.764,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.765-100.953,12.765,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.766-100.953,12.766,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.767-100.953,12.767,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.768-100.953,12.768,100.953,100,cbi-030,เขาชีจรรย์,Khao Chee Chan,CBI
12.972-100.888,12.972,100.888,100,cbi-031,ปราสาทสัจธรรม,The Sanctuary of Truth,CBI
12.972-100.889,12.972,100.889,100,cbi-031,ปราสาทสัจธรรม,The Sanctuary of Truth,CBI
12.973-100.889,12.973,100.889,100,cbi-031,ปราสาทสัจธรรม,The Sanctuary of Truth,CBI
12.973-100.888,12.973,100.888,100,cbi-031,ปราสาทสัจธรรม,The Sanctuary of Truth,CBI
13.362-100.983,13.362,100.983,100,cbi-032,พระบรมรูปพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,King Rama V Memorial Chonburi,CBI
13.453-101.184,13.453,101.184,100,cbi-033,พระพุทธมิ่งเมือง,Phra Phuttha Ming Muang,CBI
13.454-101.184,13.454,101.184,100,cbi-033,พระพุทธมิ่งเมือง,Phra Phuttha Ming Muang,CBI
12.765-100.957,12.765,100.957,100,cbi-034,พระพุธมหาวชิรอุตตโมภาสศาสดา,Phra Phut Maha Vajira Uttamo Pas Sasada,CBI
12.765-100.956,12.765,100.956,100,cbi-034,พระพุธมหาวชิรอุตตโมภาสศาสดา,Phra Phut Maha Vajira Uttamo Pas Sasada,CBI
13.148-100.817,13.148,100.817,100,cbi-035,พิพิธภัณฑ์พระจุฑาธุชราชฐาน,Phra Jutha Tucharatchathan Museum,CBI
13.148-100.818,13.148,100.818,100,cbi-035,พิพิธภัณฑ์พระจุฑาธุชราชฐาน,Phra Jutha Tucharatchathan Museum,CBI
13.392-100.988,13.392,100.988,100,cbi-036,วัดเขาพระพุทธบาทบางทราย,Wat Khao Phra Phutthabat Bang Sai,CBI
13.585-101.140,13.585,101.14,100,cbi-037,วัดโคกพนมดี,Wat Khok Phanom Dee,CBI
13.585-101.141,13.585,101.141,100,cbi-037,วัดโคกพนมดี,Wat Khok Phanom Dee,CBI
13.366-101.246,13.366,101.246,100,cbi-038,วัดชุมแสงศรีวนาราม,Wat Chum Saeng Si Wanaram,CBI
13.366-101.247,13.366,101.247,100,cbi-038,วัดชุมแสงศรีวนาราม,Wat Chum Saeng Si Wanaram,CBI
13.367-101.247,13.367,101.247,100,cbi-038,วัดชุมแสงศรีวนาราม,Wat Chum Saeng Si Wanaram,CBI
13.367-101.246,13.367,101.246,100,cbi-038,วัดชุมแสงศรีวนาราม,Wat Chum Saeng Si Wanaram,CBI
12.789-100.959,12.789,100.959,100,cbi-039,วัดญาณสังวรารามวรมหาวิหาร,Wat Yan Sangwararam Woramahawihan,CBI
12.789-100.960,12.789,100.96,100,cbi-039,วัดญาณสังวรารามวรมหาวิหาร,Wat Yan Sangwararam Woramahawihan,CBI
12.790-100.959,12.79,100.959,100,cbi-039,วัดญาณสังวรารามวรมหาวิหาร,Wat Yan Sangwararam Woramahawihan,CBI
12.790-100.960,12.79,100.96,100,cbi-039,วัดญาณสังวรารามวรมหาวิหาร,Wat Yan Sangwararam Woramahawihan,CBI
13.491-101.181,13.491,101.181,100,cbi-040,วัดใต้ต้นลาน,Wat Tai Ton Lan,CBI
13.290-101.042,13.29,101.042,100,cbi-041,วัดป่าอัมพวัน,Wat Pa Ampawan,CBI
13.289-101.042,13.289,101.042,100,cbi-041,วัดป่าอัมพวัน,Wat Pa Ampawan,CBI
13.299-100.917,13.299,100.917,100,cbi-042,วัดแสนสุขสุทธิวราราม,Wat Saen Suk Suthi Wararam,CBI
13.298-100.917,13.298,100.917,100,cbi-042,วัดแสนสุขสุทธิวราราม,Wat Saen Suk Suthi Wararam,CBI
13.299-100.918,13.299,100.918,100,cbi-042,วัดแสนสุขสุทธิวราราม,Wat Saen Suk Suthi Wararam,CBI
13.298-100.918,13.298,100.918,100,cbi-042,วัดแสนสุขสุทธิวราราม,Wat Saen Suk Suthi Wararam,CBI
12.996-100.942,12.996,100.942,100,cbi-043,วัดหนองเกตุน้อย,Wat Nong Ket Noi,CBI
12.996-100.943,12.996,100.943,100,cbi-043,วัดหนองเกตุน้อย,Wat Nong Ket Noi,CBI
12.995-100.942,12.995,100.942,100,cbi-043,วัดหนองเกตุน้อย,Wat Nong Ket Noi,CBI
12.996-100.941,12.996,100.941,100,cbi-043,วัดหนองเกตุน้อย,Wat Nong Ket Noi,CBI
12.995-100.941,12.995,100.941,100,cbi-043,วัดหนองเกตุน้อย,Wat Nong Ket Noi,CBI
13.505-101.165,13.505,101.165,100,cbi-044,วัดหลวงพรหมวาส,Wat Luang Phrom Was,CBI
13.505-101.166,13.505,101.166,100,cbi-044,วัดหลวงพรหมวาส,Wat Luang Phrom Was,CBI
13.506-101.165,13.506,101.165,100,cbi-044,วัดหลวงพรหมวาส,Wat Luang Phrom Was,CBI
12.663-100.897,12.663,100.897,100,cbi-045,วัดหลวงพ่ออี๋ (วัดสัตหีบ),Wat Luang Por Yi (Wat Sattahip),CBI
12.663-100.898,12.663,100.898,100,cbi-045,วัดหลวงพ่ออี๋ (วัดสัตหีบ),Wat Luang Por Yi (Wat Sattahip),CBI
12.664-100.898,12.664,100.898,100,cbi-045,วัดหลวงพ่ออี๋ (วัดสัตหีบ),Wat Luang Por Yi (Wat Sattahip),CBI
12.664-100.897,12.664,100.897,100,cbi-045,วัดหลวงพ่ออี๋ (วัดสัตหีบ),Wat Luang Por Yi (Wat Sattahip),CBI
12.662-100.898,12.662,100.898,100,cbi-045,วัดหลวงพ่ออี๋ (วัดสัตหีบ),Wat Luang Por Yi (Wat Sattahip),CBI
13.363-100.988,13.363,100.988,100,cbi-046,วัดใหญ่อินทาราม,Wat Yai Intharam,CBI
13.364-100.988,13.364,100.988,100,cbi-046,วัดใหญ่อินทาราม,Wat Yai Intharam,CBI
13.363-100.987,13.363,100.987,100,cbi-046,วัดใหญ่อินทาราม,Wat Yai Intharam,CBI
13.364-100.987,13.364,100.987,100,cbi-046,วัดใหญ่อินทาราม,Wat Yai Intharam,CBI
13.337-100.928,13.337,100.928,100,cbi-047,วัดอ่างศิลา,Wat Ang Sila,CBI
13.337-100.927,13.337,100.927,100,cbi-047,วัดอ่างศิลา,Wat Ang Sila,CBI
13.336-100.927,13.336,100.927,100,cbi-047,วัดอ่างศิลา,Wat Ang Sila,CBI
13.336-100.928,13.336,100.928,100,cbi-047,วัดอ่างศิลา,Wat Ang Sila,CBI
13.329-100.922,13.329,100.922,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.329-100.923,13.329,100.923,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.328-100.923,13.328,100.923,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.328-100.922,13.328,100.922,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.150-100.818,13.15,100.818,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.150-100.817,13.15,100.817,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.149-100.817,13.149,100.817,100,cbi-048,วิหารเทพสถิตพระกิติเฉลิม (ศาลเจ้าหน่าจาซาไท้จื้อ),Wat Phra Kiti Chalerm (Naja Sa Tai Zi Shrine),CBI
13.451-101.176,13.451,101.176,100,cbi-050,หอพระพนัสบดี,Phra Phanusbadi Hall,CBI
13.451-101.177,13.451,101.177,100,cbi-050,หอพระพนัสบดี,Phra Phanusbadi Hall,CBI
13.359-100.983,13.359,100.983,100,cbi-051,หอพระพุทธสิหิงค์,Phra Buddha Shihing Hall,CBI
13.360-100.983,13.36,100.983,100,cbi-051,หอพระพุทธสิหิงค์,Phra Buddha Shihing Hall,CBI
13.359-100.984,13.359,100.984,100,cbi-051,หอพระพุทธสิหิงค์,Phra Buddha Shihing Hall,CBI
12.776-100.907,12.776,100.907,100,cbi-052,บียอนลิมิตปาร์ค,Beyond Limits park,CBI
12.775-100.907,12.775,100.907,100,cbi-052,บียอนลิมิตปาร์ค,Beyond Limits park,CBI
13.154-100.983,13.154,100.983,100,cbi-053,เจปาร์ค ศรีราชา,J park Sriracha,CBI
13.153-100.983,13.153,100.983,100,cbi-053,เจปาร์ค ศรีราชา,J park Sriracha,CBI
12.972-100.976,12.972,100.976,100,cbi-054,ฟาร์มแกะพัทยา,Pattaya Sheep Farm,CBI
12.973-100.976,12.973,100.976,100,cbi-054,ฟาร์มแกะพัทยา,Pattaya Sheep Farm,CBI
12.972-100.975,12.972,100.975,100,cbi-054,ฟาร์มแกะพัทยา,Pattaya Sheep Farm,CBI
12.973-100.975,12.973,100.975,100,cbi-054,ฟาร์มแกะพัทยา,Pattaya Sheep Farm,CBI
12.925-100.872,12.925,100.872,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.925-100.873,12.925,100.873,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.926-100.873,12.926,100.873,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.926-100.872,12.926,100.872,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.925-100.871,12.925,100.871,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.927-100.873,12.927,100.873,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.925-100.870,12.925,100.87,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.924-100.871,12.924,100.871,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.924-100.872,12.924,100.872,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.924-100.873,12.924,100.873,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.924-100.870,12.924,100.87,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.925-100.874,12.925,100.874,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.926-100.875,12.926,100.875,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.926-100.874,12.926,100.874,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.925-100.875,12.925,100.875,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.927-100.876,12.927,100.876,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.927-100.875,12.927,100.875,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.927-100.874,12.927,100.874,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.928-100.875,12.928,100.875,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.928-100.877,12.928,100.877,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.928-100.876,12.928,100.876,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.927-100.877,12.927,100.877,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.928-100.878,12.928,100.878,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.928-100.879,12.928,100.879,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.929-100.879,12.929,100.879,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.929-100.878,12.929,100.878,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.930-100.879,12.93,100.879,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.930-100.878,12.93,100.878,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.929-100.880,12.929,100.88,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.930-100.880,12.93,100.88,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.931-100.881,12.931,100.881,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.931-100.882,12.931,100.882,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.932-100.882,12.932,100.882,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.932-100.881,12.932,100.881,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.931-100.880,12.931,100.88,100,cbi-055,ถนนคนเดินพัทยา,Walking Street Pattaya,CBI
12.922-100.865,12.922,100.865,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.922-100.866,12.922,100.866,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.921-100.867,12.921,100.867,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.921-100.866,12.921,100.866,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.921-100.865,12.921,100.865,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.920-100.866,12.92,100.866,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.920-100.867,12.92,100.867,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.919-100.867,12.919,100.867,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.919-100.866,12.919,100.866,100,cbi-056,เขาพระตำหนัก (เขาพระบาท),Khao Pratumnak (Khao Phra Bat),CBI
12.883-100.888,12.883,100.888,100,cbi-057,จังเกิล บันจี้จั๊ม จอมเทียน,Jungle Bungy Jump Jomtien,CBI
12.868-100.904,12.868,100.904,100,cbi-058,ตลาดน้ำสี่ภาค,Pattaya Floating Market,CBI
